date,account_id,active_flows,successful_runs,failed_runs,error_rate,p95_runtime_sec,dashboard_views,product_events,open_support_tickets,arr_at_risk,expansion_signal,data_quality_score,metric_freshness_hours,certified_metric_coverage
2026-01-01,ACC018,3,1251,58,0.0448,56.2,5,198,1,3406,1100,83.5,7.9,79.7
2026-01-01,ACC019,14,2474,131,0.0504,83.4,27,775,2,15013,7721,76.0,8.3,74.3
2026-01-01,ACC020,8,1396,68,0.0467,71.1,20,503,2,4454,2792,80.6,6.1,68.7
2026-01-01,ACC021,47,10171,225,0.0217,42.4,45,3144,1,43854,49984,93.1,8.8,72.8
2026-01-01,ACC022,22,5943,132,0.0218,58.9,29,692,1,15701,6714,95.0,8.2,79.8
2026-01-01,ACC023,53,8290,414,0.0476,65.1,53,1962,2,68688,27887,82.1,10.5,75.9
2026-01-01,ACC024,16,2381,61,0.0251,45.8,24,472,0,7861,6577,83.9,7.9,85.7
2026-01-01,ACC025,15,1898,100,0.0505,94.0,23,435,3,16171,5474,77.5,15.3,75.1
2026-01-01,ACC026,19,2031,4,0.002,54.1,26,622,0,460,7462,99,3.5,78.3
2026-01-01,ACC027,25,4497,149,0.0322,50.9,21,1388,0,16879,17143,86.3,5.4,83.2
2026-01-01,ACC028,47,10155,495,0.0466,86.8,42,1604,2,82817,22824,82.5,8.2,63.4
2026-01-01,ACC029,11,2290,4,0.002,50.4,17,763,0,586,10332,94.3,6.8,89.5
2026-01-01,ACC030,27,5084,85,0.0166,54.1,27,203,2,26565,3661,93.1,8.4,69.0
2026-01-01,ACC031,9,1289,5,0.0041,52.4,11,197,0,229,903,90.2,5.6,84.6
2026-01-01,ACC032,30,5933,138,0.0228,51.3,23,868,0,15272,10386,89.1,3.9,67.7
2026-01-01,ACC033,9,941,1,0.002,18,16,318,0,107,1917,88.9,4.3,74.7
2026-01-01,ACC034,11,834,31,0.0361,48.2,16,159,0,2125,1188,87.9,3.4,70.5
2026-01-01,ACC035,27,4900,105,0.021,44.9,22,1763,0,13247,24008,88.2,6.4,77.6
2026-01-01,ACC036,18,1868,113,0.0573,69.8,21,324,3,19942,4665,75.2,16.8,74.9
2026-01-01,ACC037,12,2783,82,0.0288,49.9,23,832,2,12362,9124,81.7,9.3,72.5
2026-01-01,ACC038,11,782,1,0.002,37.1,28,223,0,171,2574,98.9,3.6,88.2
2026-01-01,ACC039,31,5688,253,0.0426,75.3,36,1688,0,26257,19366,81.5,6.4,67.8
2026-01-01,ACC040,29,4106,18,0.0046,60.5,33,164,0,3584,3296,94.0,3.3,66.2
2026-01-01,ACC041,14,2538,87,0.0335,43.7,26,101,0,10703,1346,84.6,8.8,73.7
2026-01-01,ACC042,12,2752,88,0.031,43.3,21,679,2,7564,4381,81.6,10.5,75.8
2026-01-01,ACC043,31,5699,11,0.002,44.9,32,717,0,1371,9131,98.2,7.7,79.3
2026-01-01,ACC044,28,5605,11,0.002,36.4,34,224,0,1030,2178,95.0,1.6,85.4
2026-01-01,ACC045,51,9932,24,0.0025,22.5,51,397,0,2736,4630,91.8,5.3,80.1
2026-01-02,ACC001,11,2612,166,0.06,78.7,24,366,2,23681,4741,83.9,9.9,61.4
2026-01-02,ACC002,40,10559,475,0.0431,56.5,46,3885,2,88604,60355,83.3,8.7,79.4
2026-01-02,ACC003,2,1033,30,0.0288,77.7,15,245,0,2282,1992,91.5,4.4,78.4
2026-01-02,ACC004,51,10002,20,0.002,39.9,47,3293,0,3023,52694,99,3.7,89.7
2026-01-02,ACC005,14,2080,77,0.036,52.9,19,339,0,8113,3891,86.9,8.2,79.7
2026-01-02,ACC006,14,2443,4,0.002,31.2,15,188,0,392,1599,99,3.3,90.3
2026-01-02,ACC007,50,9931,163,0.0162,63.0,41,2127,2,36626,27388,80.1,7.9,82.4
2026-01-02,ACC008,13,2367,14,0.0061,46.7,22,209,0,1962,3027,97.3,1.6,75.6
2026-01-02,ACC009,10,968,9,0.0097,43.0,14,333,1,1041,2259,90.2,6.7,76.1
2026-01-02,ACC010,28,5363,21,0.0041,33.3,21,1012,0,2490,12259,98.8,5.2,80.2
2026-01-02,ACC011,32,4852,9,0.002,49.3,30,512,0,1218,6803,93.5,4.0,75.8
2026-01-02,ACC012,6,1383,2,0.002,29.7,17,111,1,479,449,86.0,5.7,73.5
2026-01-02,ACC013,4,1229,2,0.002,48.7,13,439,3,1436,2343,93.1,9.0,85.1
2026-01-02,ACC014,45,8103,77,0.0095,36.6,43,3024,0,10671,44282,90.8,6.0,77.6
2026-01-02,ACC015,23,5090,10,0.002,50.3,28,1676,0,1526,26594,98.0,1.4,67.2
2026-01-02,ACC016,10,2342,126,0.0511,58.4,23,712,5,25115,9353,72.6,18.5,73.2
2026-01-02,ACC017,8,723,19,0.0263,55.9,18,241,2,2610,2277,89.0,8.2,89.4
2026-01-02,ACC018,8,1148,52,0.0434,63.0,22,163,1,3312,987,85.3,11.2,82.3
2026-01-02,ACC019,16,2865,120,0.0402,65.1,25,848,0,9367,7296,87.0,11.1,75.8
2026-01-02,ACC020,7,1333,54,0.0393,79.7,18,384,0,2876,2233,88.8,6.7,59.8
2026-01-02,ACC021,48,10310,533,0.0492,46.8,38,2415,2,96685,37877,80.2,9.8,67.4
2026-01-02,ACC022,22,5088,50,0.0098,35.6,34,881,0,5347,9984,91.7,2.4,84.8
2026-01-02,ACC023,47,10015,559,0.0529,64.2,45,3024,0,58861,35578,83.1,6.5,68.6
2026-01-02,ACC024,11,2370,4,0.002,20.8,17,611,0,627,8553,95.5,2.9,86.9
2026-01-02,ACC025,10,1938,97,0.048,59.2,18,552,2,14003,6802,76.0,9.1,70.2
2026-01-02,ACC026,14,2029,4,0.002,37.8,15,756,0,460,9079,96.2,2.4,80.0
2026-01-02,ACC027,30,5500,305,0.0526,80.3,31,1528,2,35000,15431,74.1,11.6,74.6
2026-01-02,ACC028,51,10607,348,0.0318,35.1,42,1341,1,53047,18269,87.3,7.0,68.1
2026-01-02,ACC029,9,2453,4,0.002,37.9,20,823,2,4720,10404,91.9,8.2,89.3
2026-01-02,ACC030,28,5627,29,0.0052,40.5,38,225,0,4476,3666,99,6.0,76.8
2026-01-02,ACC031,8,1139,7,0.0065,33.8,9,255,0,365,1322,94.6,6.2,76.9
2026-01-02,ACC032,30,5865,105,0.0177,53.4,33,1032,1,16609,12491,84.8,6.7,75.7
2026-01-02,ACC033,9,921,1,0.002,51.7,15,278,0,107,1713,98.8,5.6,73.8
2026-01-02,ACC034,8,802,33,0.0403,74.7,8,144,2,3204,1119,78.0,6.7,72.1
2026-01-02,ACC035,23,4915,9,0.002,38.4,37,1878,0,1260,25496,98.0,8.0,73.2
2026-01-02,ACC036,20,2324,106,0.0439,46.5,21,375,2,14727,4340,87.6,13.0,70.7
2026-01-02,ACC037,10,2942,150,0.0486,61.9,13,717,2,18076,7438,79.7,11.5,55.7
2026-01-02,ACC038,12,835,6,0.0073,68.8,13,200,1,1221,2162,96.0,6.5,81.2
2026-01-02,ACC039,28,4484,205,0.0438,52.5,30,1528,1,31335,22238,85.1,7.2,71.1
2026-01-02,ACC040,31,5038,24,0.0049,61.8,34,440,4,25799,7206,89.9,8.9,71.4
2026-01-02,ACC041,17,2167,32,0.0148,41.5,19,86,0,4723,1343,86.8,8.7,67.0
2026-01-02,ACC042,13,2666,48,0.0178,57.5,17,575,2,5358,3829,88.6,3.3,86.5
2026-01-02,ACC043,33,4882,38,0.0078,55.9,30,838,0,5341,12458,87.9,3.2,68.5
2026-01-02,ACC044,28,5226,10,0.002,44.7,31,209,1,4664,2180,97.9,8.0,79.3
2026-01-02,ACC045,49,9807,19,0.002,68.8,45,392,1,9910,4630,97.3,6.2,86.6
2026-01-03,ACC001,11,2180,139,0.0601,69.6,8,314,5,30489,4873,72.9,16.2,67.2
2026-01-03,ACC002,42,9617,363,0.0364,63.3,43,3004,1,67403,51240,87.3,6.4,81.5
2026-01-03,ACC003,5,898,23,0.025,66.1,17,250,0,1983,2339,89.8,2.9,88.3
2026-01-03,ACC004,46,8748,17,0.002,40.6,46,2498,0,3023,45703,94.6,2.4,80.8
2026-01-03,ACC005,13,1864,78,0.0404,63.2,21,256,3,13884,3279,88.2,9.5,76.9
2026-01-03,ACC006,16,2400,45,0.0185,69.4,23,290,0,3633,2510,92.9,7.7,76.2
2026-01-03,ACC007,48,8831,306,0.0335,66.0,43,2396,1,48999,34695,83.0,6.4,72.2
2026-01-03,ACC008,16,1760,3,0.002,53.4,28,119,0,648,2318,93.5,3.9,74.3
2026-01-03,ACC009,5,986,6,0.007,18.7,6,324,0,433,2158,89.1,2.3,72.8
2026-01-03,ACC010,31,5312,65,0.0121,47.9,21,212,0,7444,2593,89.0,6.4,82.0
2026-01-03,ACC011,30,4636,11,0.0024,45.7,27,726,3,14379,10096,92.7,5.0,76.0
2026-01-03,ACC012,6,1157,2,0.002,28.1,16,133,0,106,643,94.8,1,75.1
2026-01-03,ACC013,7,1154,2,0.002,39.2,14,356,0,124,2024,98.2,4.9,85.1
2026-01-03,ACC014,44,8415,128,0.015,29.8,47,3227,0,16810,45502,91.5,7.6,68.3
2026-01-03,ACC015,28,4790,9,0.002,67.1,28,1275,0,1526,21498,97.3,5.6,81.1
2026-01-03,ACC016,14,1860,114,0.0579,76.6,22,479,2,20930,7923,72.8,9.9,67.1
2026-01-03,ACC017,6,679,27,0.0393,69.4,9,184,2,3443,1851,84.0,7.1,85.2
2026-01-03,ACC018,6,878,38,0.042,96.0,8,119,1,3219,942,80.1,9.0,78.1
2026-01-03,ACC019,10,2361,121,0.0488,49.5,20,679,2,14652,7089,80.8,6.5,71.0
2026-01-03,ACC020,9,1073,58,0.0518,70.6,19,393,2,4824,2839,82.2,13.1,72.9
2026-01-03,ACC021,49,8837,430,0.0464,66.9,48,2368,5,124802,43330,80.0,12.5,67.5
2026-01-03,ACC022,29,4950,58,0.0117,36.2,26,752,3,17906,8760,84.0,7.1,75.9
2026-01-03,ACC023,46,7967,479,0.0568,73.0,38,2099,3,86767,31043,72.0,12.9,62.0
2026-01-03,ACC024,20,1920,19,0.0103,28.3,19,398,0,3223,6877,95.9,3.6,89.2
2026-01-03,ACC025,9,1472,88,0.0567,55.2,22,241,5,20740,3910,69.1,13.8,64.7
2026-01-03,ACC026,19,1800,3,0.002,33.9,25,527,0,460,7134,94.6,5.6,77.8
2026-01-03,ACC027,27,5252,250,0.0455,81.2,38,1461,2,31295,15451,86.5,8.6,83.2
2026-01-03,ACC028,45,7658,330,0.0414,51.5,47,447,1,66106,8434,81.4,10.7,76.9
2026-01-03,ACC029,12,1850,13,0.0074,72.2,15,628,0,2160,10527,91.7,2.7,80.6
2026-01-03,ACC030,27,4430,60,0.0134,43.7,27,177,0,11574,3664,93.5,5.9,68.3
2026-01-03,ACC031,7,1026,32,0.0307,78.0,18,205,3,2893,1180,89.1,9.3,64.6
2026-01-03,ACC032,27,4901,81,0.0164,52.3,30,1110,0,11029,16078,96.6,3.6,70.5
2026-01-03,ACC033,8,835,1,0.002,40.4,21,234,1,485,1590,94.3,4.9,79.3
2026-01-03,ACC034,7,626,18,0.0293,57.9,17,96,0,1725,956,93.7,8.1,72.2
2026-01-03,ACC035,26,5151,10,0.002,25.7,28,1627,2,10157,21076,87.8,7.7,74.4
2026-01-03,ACC036,16,1598,75,0.0454,67.1,22,302,1,13324,5083,81.4,9.6,72.0
2026-01-03,ACC037,14,2300,112,0.0468,69.0,8,779,1,15531,10337,83.4,10.2,57.5
2026-01-03,ACC038,10,655,1,0.002,32.2,16,189,0,171,2605,95.7,2.8,78.9
2026-01-03,ACC039,29,4604,246,0.0508,62.3,30,995,3,44335,14103,77.8,18.3,71.8
2026-01-03,ACC040,33,5220,56,0.0107,41.3,29,867,0,8327,13704,87.9,8.3,81.8
2026-01-03,ACC041,13,1925,15,0.0078,67.1,19,77,1,4735,1353,96.0,2.9,80.8
2026-01-03,ACC042,12,2683,77,0.0282,59.6,9,694,2,7104,4593,86.0,9.0,89.2
2026-01-03,ACC043,32,4809,26,0.0055,49.2,35,909,0,3755,13719,90.3,4.3,79.6
2026-01-03,ACC044,26,5204,10,0.002,33.4,31,240,0,1030,2514,96.4,1.7,81.1
2026-01-03,ACC045,49,9502,19,0.002,31.2,41,754,1,9910,9191,93.0,3.0,78.3
2026-01-04,ACC001,13,2234,116,0.0496,58.9,12,350,1,18102,5301,87.3,7.3,79.7
2026-01-04,ACC002,46,8642,508,0.0556,65.5,44,3119,2,108043,59204,76.8,10.2,70.7
2026-01-04,ACC003,3,871,4,0.0046,54.4,10,179,2,1488,1726,92.3,9.1,92.2
2026-01-04,ACC004,47,9867,19,0.002,40.7,60,2596,0,3023,42109,99,2.3,74.9
2026-01-04,ACC005,16,2147,46,0.0213,55.3,13,388,0,4800,4314,96.6,6.8,73.3
2026-01-04,ACC006,14,1749,12,0.007,52.3,15,145,0,1381,1722,96.2,5.8,82.3
2026-01-04,ACC007,47,9290,442,0.0455,44.5,55,2691,1,63486,37042,77.0,7.9,70.4
2026-01-04,ACC008,15,1896,16,0.0084,47.4,21,307,0,2720,5551,99,8.5,76.5
2026-01-04,ACC009,5,913,1,0.002,38.5,14,277,0,124,1992,91.2,10.5,78.2
2026-01-04,ACC010,30,4673,9,0.002,33.2,24,211,0,1227,2933,93.3,3.2,75.4
2026-01-04,ACC011,32,4266,33,0.0078,53.2,40,557,2,13328,8418,99,5.9,82.3
2026-01-04,ACC012,3,1054,2,0.002,35.6,10,127,0,106,674,94.2,7.8,76.4
2026-01-04,ACC013,4,1109,2,0.002,36.9,6,450,0,124,2662,99,7.2,88.4
2026-01-04,ACC014,45,10338,236,0.0224,69.9,46,4239,0,25070,48654,90.4,6.0,69.8
2026-01-04,ACC015,26,4150,8,0.002,58.6,34,1090,0,1526,21213,97.4,4.1,80.3
2026-01-04,ACC016,11,1846,130,0.0661,68.0,13,515,3,25346,8583,78.5,14.6,55.4
2026-01-04,ACC017,6,733,39,0.0517,56.3,13,187,1,3791,1743,85.3,12.0,76.5
2026-01-04,ACC018,4,1128,56,0.0479,58.2,13,83,3,4534,511,82.1,10.3,74.2
2026-01-04,ACC019,13,1968,124,0.0596,60.2,17,637,1,15527,7978,80.4,10.2,63.5
2026-01-04,ACC020,7,1127,53,0.0451,68.9,17,378,1,3821,2599,81.7,12.1,69.9
2026-01-04,ACC021,50,8529,419,0.0469,55.3,50,2535,0,71571,48061,83.8,6.7,72.0
2026-01-04,ACC022,25,4594,101,0.0217,43.2,24,719,1,15640,9024,96.3,8.9,73.2
2026-01-04,ACC023,47,9317,701,0.07,75.9,35,2899,2,93641,36662,69.8,7.5,67.2
2026-01-04,ACC024,11,1961,4,0.0025,30.5,19,251,0,789,4246,91.9,1.3,90.0
2026-01-04,ACC025,13,1594,79,0.0473,68.2,19,319,2,13860,4779,83.5,14.3,80.9
2026-01-04,ACC026,19,1873,12,0.0068,27.9,16,571,0,1571,7428,98.6,1.4,74.0
2026-01-04,ACC027,26,4773,228,0.0457,63.2,23,1336,1,27685,15547,91.2,13.5,77.9
2026-01-04,ACC028,49,8130,317,0.0375,42.3,46,1158,0,51236,20582,88.2,8.9,77.1
2026-01-04,ACC029,10,1972,3,0.002,44.6,26,606,0,586,9529,93.4,1.3,83.1
2026-01-04,ACC030,30,4779,68,0.0141,37.1,40,191,0,12206,3665,97.1,2.9,77.1
2026-01-04,ACC031,10,1053,2,0.002,56.1,14,242,3,1293,1357,92.9,7.3,75.1
2026-01-04,ACC032,26,4573,96,0.0207,54.3,18,915,0,13855,14204,86.2,6.6,68.6
2026-01-04,ACC033,13,784,1,0.002,22.6,16,211,0,107,1527,92.8,2.7,86.2
2026-01-04,ACC034,8,671,28,0.0414,29.5,8,92,1,2850,854,82.1,9.0,53.8
2026-01-04,ACC035,27,4297,26,0.0061,81.4,26,1356,0,3844,21057,91.7,3.6,79.0
2026-01-04,ACC036,17,1908,127,0.0627,85.3,21,279,2,19503,3933,78.5,15.2,62.0
2026-01-04,ACC037,15,2311,157,0.0637,69.7,21,710,1,20388,9377,75.9,8.1,61.0
2026-01-04,ACC038,7,788,1,0.002,37.4,12,219,0,171,2509,95.8,1.9,74.2
2026-01-04,ACC039,24,4104,208,0.0483,59.6,29,1424,0,29758,22643,80.3,9.0,67.8
2026-01-04,ACC040,30,4410,34,0.0077,61.4,32,186,1,11479,3480,92.4,5.0,79.3
2026-01-04,ACC041,14,2304,20,0.009,55.8,16,92,0,2876,1351,98.6,2.3,73.1
2026-01-04,ACC042,14,2136,36,0.0168,42.1,15,508,0,2821,4223,88.0,6.7,83.4
2026-01-04,ACC043,34,5209,76,0.0146,38.4,36,921,0,9973,12832,90.9,3.2,82.8
2026-01-04,ACC044,24,4235,71,0.0166,50.0,28,169,0,8535,2175,93.2,7.0,91.5
2026-01-04,ACC045,51,10436,20,0.002,47.6,36,501,0,2188,5561,95.4,5.1,72.7
2026-01-05,ACC001,9,2233,91,0.0393,75.4,15,336,0,12568,5091,84.9,8.6,70.6
2026-01-05,ACC002,45,10485,552,0.0501,49.7,47,3463,0,77546,54179,83.3,9.5,76.8
2026-01-05,ACC003,4,945,8,0.0089,35.4,6,175,0,703,1556,87.0,6.9,78.0
2026-01-05,ACC004,47,8763,17,0.002,37.1,41,2745,1,13693,50136,99,9.4,84.8
2026-01-05,ACC005,11,2235,61,0.027,55.8,13,374,0,6083,3995,94.1,5.6,81.6
2026-01-05,ACC006,11,2585,59,0.0225,61.9,23,344,0,4423,2765,90.5,7.9,86.5
2026-01-05,ACC007,49,9086,282,0.0301,76.4,52,2381,1,44924,33510,89.1,5.9,78.0
2026-01-05,ACC008,14,2287,9,0.0043,56.0,16,132,1,3671,1979,94.4,3.4,74.4
2026-01-05,ACC009,6,1240,14,0.0113,25.3,17,336,0,699,1779,86.5,6.0,74.1
2026-01-05,ACC010,29,5261,32,0.0061,43.9,40,534,1,8054,6594,96.7,4.2,78.8
2026-01-05,ACC011,32,5449,114,0.0207,49.2,30,735,0,12575,8696,89.4,3.3,73.2
2026-01-05,ACC012,2,1359,2,0.002,25.0,12,54,0,106,222,96.4,6.1,65.5
2026-01-05,ACC013,2,1192,2,0.002,52.4,10,415,0,124,2284,95.6,5.0,81.3
2026-01-05,ACC014,47,9478,63,0.0067,30.7,57,4475,3,31225,56023,89.5,8.6,82.9
2026-01-05,ACC015,20,5091,10,0.002,41.5,31,1186,0,1526,18815,97.9,2.9,78.2
2026-01-05,ACC016,12,2181,144,0.062,54.0,23,530,0,18020,7476,81.5,11.5,70.2
2026-01-05,ACC017,7,763,36,0.0462,66.2,10,240,2,3894,2149,81.5,8.2,79.8
2026-01-05,ACC018,7,1207,57,0.0452,55.8,10,192,0,2970,1106,87.9,8.5,80.9
2026-01-05,ACC019,14,2407,128,0.0508,76.8,13,633,0,11816,6482,86.2,6.0,70.7
2026-01-05,ACC020,6,1282,64,0.0479,66.0,19,421,2,4543,2545,86.7,11.1,56.3
2026-01-05,ACC021,50,10937,488,0.0428,64.7,49,3717,1,76093,54955,79.2,9.1,70.8
2026-01-05,ACC022,24,4644,132,0.0276,52.7,24,881,2,22744,10939,88.6,6.4,69.1
2026-01-05,ACC023,44,9823,617,0.0591,56.1,49,2389,4,97210,28656,75.8,15.1,74.2
2026-01-05,ACC024,17,1969,31,0.0156,63.0,18,350,0,4888,5897,96.6,6.7,74.1
2026-01-05,ACC025,18,2285,148,0.0612,71.5,17,500,3,18572,5226,80.1,15.1,77.2
2026-01-05,ACC026,17,2347,19,0.0083,53.9,15,812,0,1919,8430,91.2,5.6,75.4
2026-01-05,ACC027,26,6011,225,0.0362,51.8,33,1672,0,19002,15450,83.8,3.2,88.0
2026-01-05,ACC028,53,9779,301,0.0299,58.2,38,1492,0,40776,22047,88.5,5.9,67.4
2026-01-05,ACC029,10,2694,5,0.002,37.4,26,812,2,4720,9347,94.8,7.9,90.5
2026-01-05,ACC030,25,4858,9,0.002,43.4,22,194,0,1732,3662,95.8,5.0,73.2
2026-01-05,ACC031,7,1288,9,0.0074,38.6,15,246,0,415,1128,91.1,4.9,73.0
2026-01-05,ACC032,28,6481,116,0.0177,53.2,34,873,3,26077,9562,86.0,13.7,78.8
2026-01-05,ACC033,8,935,1,0.002,48.2,24,288,0,107,1748,90.5,2.8,70.2
2026-01-05,ACC034,7,910,41,0.0441,64.4,18,188,1,3010,1287,87.9,9.7,69.6
2026-01-05,ACC035,31,4653,42,0.009,63.3,37,1633,3,18989,23418,92.8,7.4,72.7
2026-01-05,ACC036,15,2115,130,0.0581,48.9,30,415,2,18338,5277,83.2,10.8,72.1
2026-01-05,ACC037,10,2615,154,0.0559,54.4,13,800,3,22214,9337,75.7,12.9,66.7
2026-01-05,ACC038,7,975,1,0.002,21.4,15,265,2,1374,2454,93.8,6.7,82.7
2026-01-05,ACC039,24,4898,231,0.0451,79.9,30,1513,0,27793,20158,85.7,4.5,71.1
2026-01-05,ACC040,34,5889,78,0.0132,41.5,33,1019,0,10247,14277,96.7,7.4,69.9
2026-01-05,ACC041,15,2357,35,0.0149,37.6,25,94,0,4774,1349,92.5,2.4,73.3
2026-01-05,ACC042,10,2615,93,0.0344,44.9,10,595,1,6959,4040,87.6,10.5,77.6
2026-01-05,ACC043,29,5825,73,0.0125,43.9,31,849,0,8566,10578,92.3,7.7,88.3
2026-01-05,ACC044,26,5321,63,0.0118,22.5,37,212,2,13361,2172,93.1,7.0,73.8
2026-01-05,ACC045,52,10071,20,0.002,44.9,43,402,0,2188,4624,90.7,4.6,86.7
2026-01-06,ACC001,10,2428,149,0.0581,78.8,17,431,1,20818,6006,80.7,8.7,70.8
2026-01-06,ACC002,43,10422,457,0.0421,64.7,37,3384,2,87081,53263,79.7,9.6,79.6
2026-01-06,ACC003,3,873,15,0.0171,53.1,20,96,1,1919,924,91.1,10.2,80.0
2026-01-06,ACC004,50,9388,18,0.002,54.4,43,2789,2,24363,47548,93.3,3.8,78.7
2026-01-06,ACC005,13,2236,62,0.027,57.0,22,290,0,6097,3096,89.8,4.9,84.3
2026-01-06,ACC006,14,2730,63,0.0226,56.3,18,397,0,4442,3021,98.0,2.7,80.4
2026-01-06,ACC007,48,9644,326,0.0328,59.8,48,2890,0,39600,38321,90.6,8.9,73.2
2026-01-06,ACC008,15,2412,15,0.0062,37.4,30,113,1,4302,1606,89.6,5.1,77.2
2026-01-06,ACC009,2,1312,2,0.002,34.0,11,368,0,124,1842,96.6,1.9,80.2
2026-01-06,ACC010,29,6591,13,0.002,51.3,24,747,0,1227,7363,92.4,3.9,81.2
2026-01-06,ACC011,35,5312,10,0.002,59.1,31,568,0,1218,6894,99,4.4,71.2
2026-01-06,ACC012,5,1269,9,0.0076,55.3,10,170,0,402,749,92.1,2.6,64.6
2026-01-06,ACC013,5,1409,2,0.002,48.3,8,447,0,124,2081,96.1,8.6,89.8
2026-01-06,ACC014,46,10628,59,0.0056,36.2,47,3539,0,6263,39511,95.2,5.4,73.0
2026-01-06,ACC015,24,4908,29,0.0059,37.9,23,1312,0,4492,21590,95.3,3.9,68.6
2026-01-06,ACC016,11,2535,96,0.0368,64.0,21,769,4,18905,9332,78.3,16.1,75.3
2026-01-06,ACC017,9,894,42,0.045,66.8,30,278,1,3358,2124,83.3,9.0,68.4
2026-01-06,ACC018,4,1228,65,0.0509,52.3,13,201,2,4265,1138,76.7,7.5,69.3
2026-01-06,ACC019,15,2430,133,0.0519,55.2,17,801,2,15369,8125,82.9,8.3,56.7
2026-01-06,ACC020,9,1061,34,0.0315,68.4,13,304,1,2820,2221,89.7,5.3,74.9
2026-01-06,ACC021,51,10228,543,0.0504,84.1,50,2981,3,109346,47128,82.3,10.1,72.2
2026-01-06,ACC022,25,5412,253,0.0447,52.4,31,951,2,32057,10132,82.9,8.4,70.5
2026-01-06,ACC023,50,11212,909,0.075,66.3,45,3173,3,107065,33345,70.0,15.9,64.3
2026-01-06,ACC024,12,2289,4,0.002,42.0,18,382,0,627,5536,97.7,3.0,79.5
2026-01-06,ACC025,15,1726,71,0.04,70.5,20,273,0,9017,3777,87.0,7.9,85.1
2026-01-06,ACC026,16,2155,4,0.002,60.9,25,604,0,460,6829,94.8,2.2,72.6
2026-01-06,ACC027,27,5191,212,0.0393,45.5,30,1300,3,31725,13910,87.9,15.1,78.8
2026-01-06,ACC028,50,9173,437,0.0455,33.3,37,1025,0,62147,16147,87.5,10.8,64.2
2026-01-06,ACC029,11,2159,4,0.002,41.3,20,707,0,586,10155,92.8,1.7,82.7
2026-01-06,ACC030,29,4752,9,0.002,53.9,28,190,0,1732,3666,94.4,5.1,79.9
2026-01-06,ACC031,14,1273,2,0.002,39.7,16,297,0,112,1378,89.7,1,78.9
2026-01-06,ACC032,25,5670,152,0.0263,61.2,38,972,2,27080,12170,87.0,10.0,79.7
2026-01-06,ACC033,7,973,1,0.002,31.5,13,281,0,107,1639,93.3,3.3,73.1
2026-01-06,ACC034,6,804,24,0.029,50.0,2,216,3,2952,1674,88.1,10.2,76.9
2026-01-06,ACC035,25,5642,11,0.002,45.9,26,1484,0,1260,17551,96.1,6.8,84.3
2026-01-06,ACC036,16,2129,122,0.0545,77.9,25,414,2,17432,5230,84.5,11.9,61.8
2026-01-06,ACC037,9,2496,120,0.0462,36.6,22,845,1,15348,10333,78.5,8.2,71.0
2026-01-06,ACC038,9,822,1,0.002,46.4,11,203,0,171,2229,96.8,6.8,87.2
2026-01-06,ACC039,26,5361,246,0.0439,52.2,27,1897,2,35752,23092,80.6,5.3,73.2
2026-01-06,ACC040,33,5765,136,0.0231,25.9,28,785,0,18039,11235,93.2,4.0,75.1
2026-01-06,ACC041,13,2296,4,0.002,40.1,21,91,0,639,1341,94.3,3.8,80.4
2026-01-06,ACC042,11,2241,54,0.0236,68.3,14,574,0,3959,4548,84.7,5.3,79.8
2026-01-06,ACC043,33,5505,11,0.002,47.5,32,846,0,1371,11154,97.3,8.3,97.8
